patent_id,citation_patent_id,fwd_cit_bwd
10159713,5514646,0
10159778,4925572,1
10159964,4310440,0
10159965,4310440,0
10160382,5471515,0
10160437,5471515,0
10160542,5960411,0
10160793,4736866,0
10160793,4816567,0
10160806,4816567,0
10160806,6331415,1
10160808,4683195,0
10160811,4816567,0
10160958,4816567,0
10160969,4415732,0
10161002,6787308,0
10161063,4827064,0
10161063,4827073,0
10162715,6671821,0
10162800,4683195,0
10163010,5291560,0
10163137,4405829,0
10163137,5291560,0
10164025,5998833,1
10165015,7197462,0
10165080,6108703,0
10165763,5770429,0
10165763,5939598,1
10166003,4733665,0
10166003,4816567,0
10166019,6108703,0
10166072,5595568,1
10166097,4733665,1
10166128,3953566,0
10166131,4733665,0
10166287,4459286,0
10166304,4816567,0
10166334,4031893,1
10167309,4415732,0
10167334,4816567,0
10167334,5770429,1
10167334,5939598,1
10167336,4816567,0
10167344,5770429,0
10167344,5939598,0
10167371,7807619,0
10167455,6787308,0
10167471,4415732,0
10167483,4683195,0
10167500,4683195,0
10167508,4683195,0
10167517,4683195,0
10167517,4965188,1
10167520,4683195,0
10168691,4901221,0
10169329,7166791,1
10169390,6285999,0
10169424,5960411,0
10169479,6108703,0
10169547,4135240,0
10170123,7166791,1
10170607,4969028,0
10170724,4356429,0
10170724,4539507,1
10170798,4623597,0
10171289,7599359,0
10171709,5471515,0
10171985,5960411,0
10172708,4733665,1
10172721,6770074,1
10172730,4733665,0
10172804,3950333,0
10172850,5514646,1
10172879,4683195,0
10172905,4683195,0
10172916,4415732,0
10173132,5184830,1
10174110,4816397,0
10174110,4816567,0
10174310,6787308,0
10174324,4683195,0
10174356,5077210,0
10174363,5471515,0
10174367,4683195,0
10174368,4683195,0
10174368,6787308,0
10174376,4683195,0
10175121,7450806,0
10175405,7450806,0
10175550,5961804,1
10175550,6124851,1
10175939,5960411,0
10176167,7166791,1
10176376,5291560,0
10176377,5291560,0
10176744,5751384,0
10177319,4356429,0
10177816,4799258,0
10177905,4405829,0
10178224,4371752,1
10179041,4733665,1
10179043,4733665,0
10179047,4733665,0
10179048,4733665,0
10179054,6770074,1
10179172,4816567,0
10179283,5184830,0
10179365,4575330,0
10179814,4683195,0
10179814,4736866,0
10179814,4816397,0
10179814,4816567,0
10179814,5939598,1
10179816,4816567,0
10179816,6331415,1
10179821,4816567,0
10179822,4816567,0
10179822,5939598,1
10179902,4683195,0
10179902,4816567,0
10179910,4599315,0
10179910,4683195,0
10180887,5297148,0
10180993,6108703,1
10181234,5291560,0
10181523,5998833,1
10182013,6108703,1
10182147,7197462,0
10182561,4237224,0
10182567,5518988,1
10182831,6770074,1
10183285,4310440,0
10183475,4925572,1
10183748,5960411,0
10183749,5960411,0
10183986,4816567,0
10183988,4816567,0
10183988,5770429,1
10183988,5939598,0
10183995,4816397,0
10183995,4816567,0
10183996,4816567,0
10183999,4816397,0
10183999,6331415,1
10184000,4816397,0
10184000,6331415,1
10184005,5770429,0
10184006,4816567,0
10184006,6331415,1
10184106,4816567,0
10184124,4415732,0
10184148,6787308,0
10185486,5960411,0
10185542,7166791,1
10185739,5960411,0
10185778,6285999,0
10185936,5960411,1
10185994,5960411,0
10186254,7166791,1
10186664,4539507,0
10187208,4405829,0
10187317,6108703,1
10187387,4405829,0
10187530,7197462,0
10187615,5471515,0
10188373,4744360,0
10188472,5046022,0
10188490,4575330,0
10188516,4733665,1
10188528,6770074,1
10188551,4733665,0
10188650,4816567,0
10188660,4816397,0
10188660,5179017,0
10188660,5939598,1
10188705,4683195,0
10188738,4816567,0
10188746,4816567,0
10188748,4415732,0
10188748,4816567,0
10188772,4733665,0
10188953,5184830,0
10188974,4925572,0
10189808,5811097,0
10189894,4816567,0
10189896,4816567,0
10189904,4683195,0
10189904,4736866,0
10189904,4816397,0
10189904,4816567,0
10189904,5939598,1
10189909,4816567,0
10190072,4827064,0
10190072,4827073,0
10190137,9879269,0
10190153,4683195,0
10190153,4889818,0
10190153,4965188,0
10190165,4683195,0
10190165,4965188,0
10190173,4683195,0
10190173,4965188,0
10190743,6124851,0
10191011,5171534,0
10191220,4733665,0
10191220,4816567,0
10191299,5108388,0
10191622,5960411,0
10192200,6285999,0
10192220,5960411,0
10192462,4474245,0
10192552,7166791,0
10194351,6108703,0
10194645,5770429,0
10195026,4733665,0
10195033,4733665,0
10195046,6770074,0
10195053,6770074,0
10195119,6387981,0
10195119,6572693,0
10195119,6730156,0
10195175,4816567,0
10195209,4816397,0
10195209,5179017,0
10195209,5939598,0
10195212,4757128,0
10195259,5811097,0
10195280,4683195,0
10195280,4889818,0
10195280,4965188,0
10195281,4816567,0
10195392,4733665,0
10195579,4415732,0
10195579,4683195,0
10195579,4893886,0
10195579,4965188,0
10195995,5471515,0
10196144,5960411,0
10196418,4415732,0
10196439,5770429,0
10196440,4816567,0
10196442,4816397,0
10196442,4816567,0
10196442,5770429,0
10196442,5939598,0
10196454,4816567,0
10196454,5770429,0
10196635,4816567,0
10196640,4415732,0
10196640,4683195,0
10196676,4683195,0
10196676,4965188,0
10196681,4683195,0
10196681,5939598,0
10196686,6787308,0
10197573,4816397,0
10197573,4816567,0
10197573,5939598,0
10198731,5960411,0
10198746,6285999,0
10198757,5960411,0
10199051,7166791,0
10199072,4970663,0
10200321,6285999,0
10200402,6108703,0
10200430,7166791,0
10200458,7197462,0
10200467,6108703,0
10200505,6108703,0
10201355,6770074,0
10201375,6770074,0
10201409,4575330,0
10201416,4733665,0
10201417,4733665,0
10201418,4733665,0
10201419,4733665,0
10201672,5514646,0
10201964,4575330,0
10202147,5471515,0
10202431,4683195,0
10202465,4816567,0
10202588,4683195,0
10202588,4965188,0
10202605,4683195,0
10202605,4965188,0
10202608,4683195,0
10202608,4965188,0
10202615,4683195,0
10202615,4816567,0
10202615,4965188,0
10202616,5939598,0
10202616,6331415,0
10202637,4683195,0
10202641,6787308,0
10202642,4415732,0
10202642,4683195,0
